Department,Difference,Minimum,Maximum
Architecture & Design,35.940431821102685,0,294
Drawings & Prints,23.839619488008022,0,114
Film,39.14249684741488,0,207
Media and Performance,30.335071254779283,0,119
Painting & Sculpture,24.754033324517323,0,179
Photography,47.71019801638041,0,169
